Campaign,Labels,Budget,Budget type,Campaign Type,Networks,Languages,Bid Strategy Type,Bid Strategy Name,Target CPA,Desktop Bid Modifier,Mobile Bid Modifier,Tablet Bid Modifier,TV Screen Bid Modifier,Start Date,End Date,Ad Schedule,Ad rotation,Targeting method,Exclusion method,Flexible Reach,Ad Group,Max CPC,Max CPM,Max CPV,Percent CPC,Target CPM,Target ROAS,Top Content Bid Modifier,Display Network Custom Bid Type,Targeting expansion,Ad Group Type,Audience targeting,Audience grouped,Tracking template,Final URL suffix,Custom parameters,ID,Location,Reach,Feed,Radius,Unit,Bid Modifier,Criterion Type,Keyword,First page bid,Top of page bid,First position bid,Quality score,Landing page experience,Expected CTR,Ad relevance,Final URL,Final mobile URL,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Link Text,Description Line 1,Description Line 2,Upgraded extension,Header,Snippet Values,Callout text,Phone Number,Country of Phone,Conversion Action,Campaign Status,Ad Group Status,Status,Approval Status,Comment
AP | Tree Surgery Template,,15,Daily,Search,Google search,en,Maximize conversions,,0,-10,20,10,,[],[],(Monday[08:00-22:00]);(Tuesday[08:00-22:00]);(Wednesday[08:00-22:00]);(Thursday[08:00-22:00]);(Friday[08:00-22:00]);(Saturday[08:00-22:00]);(Sunday[08:00-22:00]),Optimize for clicks,Location of presence,Location of presence,Audiences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,,,,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,Audiences;Genders;Ages;Parental status;Household incomes,Tree Surgeon,0.01,0.01,,,0.01,,,None,Disabled,Default,Audience segments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,,,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,commercial arborist,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial arborist,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,tree surgeon near me,0,0,0,1,Below average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,commercial tree surgery,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,tree surgeon near me,0,0,0,1,Below average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,tree surgery companies near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,tree surgeon companies near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,local tree surgeons near me,0,0,0,3,Average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial tree surgeon,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,local tree surgeon,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,tree surgeon services,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,arborist near me,0,0,0,3,Average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,arborist near me,0,0,0,3,Average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,tree doctor near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,arborist tree surgeon,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,commercial tree surgeon,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,tree doctor near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,tree surgery near me,0,0,0,4,Average,Below average,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,tree surgery company,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,tree surgeons in my area,0,0,0,3,Average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,local tree surgeon near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial tree surgery,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,commercial tree surgeon near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial tree surgeon near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,tree surgery near me,0,0,0,4,Average,Below average,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,commercial arborist near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,arborist tree surgeon near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,commercial tree doctor,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial arborist near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial tree doctor near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial tree surgery near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,commercial tree surgery near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Phrase,commercial tree doctor near me,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,Exact,commercial tree doctor,0,0,0,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Tree Surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://racheldownstreesurgery.co.uk,,Responsive search ad,Professional Tree Surgeons,1,Book A Free Consultation Today,-,Female Led Company,-,Passionate About Tree Health,-,Competitively Priced,-,All Aspects Of Tree Surgery,-,Following British Standards,-,Fully Certified Tree Surgeons,-,Commercial & Domestic Services,-,Tree Surgery Specialists,-,Call Our Friendly Team Today,-,Based In Swansea & South Wales,-,,,,,,,"Commercial And Domestic Tree Surgery, Hedge & Shrub Maintenance In Swansea And South Wales",-,"Services Include Felling, Pruning, Dismantling, Clearing, Trimming And Stump Grinding",-,"At Rachel Downs Tree Surgery We Strive To Be Professional, Reliable And Approachable",-,"Call Or Email Rachel Today For A Free, No Obligation Consultation. Open To All Enquiries",-,tree,surgeon,,,,,,,,,,,Paused,Enabled,Enabled,Pending review,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,Audiences;Genders;Ages;Parental status;Household incomes,Hedge Cutting,0.01,0.01,,,0.01,,,None,Disabled,Default,Audience segments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,,,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Negative Exact,petrol hedge trimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Negative Exact,petrol hedge trimmer with extension pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Negative Exact,4m long reach hedge trimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Enabled,,
AP | Tree Surgery Template,,,,,,,,,,,,,,,,,,,,,Hedge Cutting,,,,,,,,,,,,,,,,,,,,,,,Phrase,hedge cutting,0,0,0,1,Below average,Below average,Below average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused,Enabled,Paused,Pending review,
